[2023-08-30 11:14:56,289] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[2]/div[1]/div')
[2023-08-30 11:14:56,377] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="name"]')
[2023-08-30 11:14:56,377] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="name"]')
[2023-08-30 11:14:56,450] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="desc"]')
[2023-08-30 11:14:56,450] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="desc"]')
[2023-08-30 11:14:56,491] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:14:56,491] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:14:56,500] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:14:56,531] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:14:56,531] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:14:57,580] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[6]/div/div/em')
[2023-08-30 11:14:57,580] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[6]/div/div/em')
[2023-08-30 11:14:57,660] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:14:57,660] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:14:57,669] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:14:57,694] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:14:57,694] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:14:57,728] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:14:57,729] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:14:57,738] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:14:57,766] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="vip_price"]')
